title,genre,rating
Baki,"['Anime', 'Hành động', 'Võ thuật', 'Shounen']","['9.1', '2695']"
Toàn Chức Cao Thủ Phần 3,"['Trò chơi', 'CN Animation']","['9.3', '145']"
The New Gate,"['Anime', 'Hành động', 'Trò chơi', 'Phiêu lưu', 'Xuyên không']","['8.1', '182']"
Pon no Michi,"['Anime', 'Hài hước', 'Trò chơi', 'Siêu nhiên']","['6.4', '63']"
Toaru Ossan no VRMMO Katsudouki,"['Anime', 'Hành động', 'Hài hước', 'Trò chơi', 'Phiêu lưu']","['7.3', '129']"
Watashi no Oshi wa Akuyaku Reijou,"['Anime', 'Hài hước', 'Tình cảm', 'Trò chơi']","['7.8', '99']"
KamiErab,"['Anime', 'Hành động', 'Trò chơi', 'Siêu năng lực']","['3.9', '42']"
Level 1 dakedo Unique Skill de Saikyou desu,"['Anime', 'Hành động', 'Hài hước', 'Trò chơi', 'Phiêu lưu']","['8.6', '161']"
Liar Liar,"['Anime', 'Hài hước', 'Học đường', 'Trò chơi']","['8.4', '149']"
Yamada-kun to Lv999 no Koi wo Suru,"['Anime', 'Tình cảm', 'Trò chơi']","['8.9', '374']"
Sword Art Online the Movie: Progressive - Scherzo of Deep Night ,"['Anime', 'Hành động', 'Tình cảm', 'Trò chơi', 'Phiêu lưu']","['9.4', '179']"
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Trò chơi', 'Phiêu lưu']","['8.8', '335']"
Uzaki-chan wa Asobitai! Double (Ss2),"['Anime', 'Hài hước', 'Tình cảm', 'Đời thường', 'Trò chơi']","['8.5', '224']"
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,"['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi', 'Phiêu lưu']","['7.3', '142']"
Overlord IV,"['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi']","['9.7', '1292']"
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,"['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Trò chơi', 'Phiêu lưu']","['9.7', '403']"
Build Divide: Code White (Ss2),"['Anime', 'Giả tưởng', 'Trò chơi']","['7.0', '62']"
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu","['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi']","['8.9', '589']"
RPG Fudousan,"['Anime', 'Hài hước', 'Giả tưởng', 'Đời thường', 'Trò chơi']","['7.1', '62']"
Build Divide: Code Black,"['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi']","['8.4', '170']"
Yu☆Gi☆Oh: Sevens,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Trò chơi']","['3.4', '161']"
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Trò chơi', 'Drama']","['8.8', '268']"
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Trò chơi']","['6.6', '603']"
Cardfight!! Vanguard overDress,"['Anime', 'Hành động', 'Trò chơi']","['4.2', '39']"
Log Horizon: Entaku Houkai,"['Anime', 'Hành động', 'Giả tưởng', 'Phiêu lưu', 'Trò chơi']","['9.3', '329']"
DOTA: Dragon's Blood,"['Anime', 'Hành động', 'Giả tưởng', 'Trò chơi']","['8.0', '29']"
Shadowverse,"['Anime', 'Giả tưởng', 'Trò chơi']","['6.8', '45']"
100-man no Inochi no Ue ni Ore wa Tatteiru,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Trò chơi', 'Drama']","['8.6', '335']"
Gundam Build Divers Re:Rise,"['Anime', 'Viễn tưởng', 'Trò chơi', 'Mecha']","['8.2', '104']"
Detective Conan: Black Iron Submarine,"['Anime', 'Hành động', 'Thám tử', 'Shounen', 'Phiêu lưu']","['8.8', '16']"
Ron Kamonohashi: Thám Tử Loạn Trí,"['Anime', 'Hài hước', 'Thám tử', 'Thriller']","['7.0', '64']"
 Conan Movie 26: Tàu Ngầm Sắt Màu Đen,"['Anime', 'Thám tử', 'Shounen', 'Phiêu lưu']","['8.8', '45']"
Thám Tử Lừng Danh Conan,"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Thám tử']","['8.3', '3889']"
Undead Girl Murder Farce,"['Anime', 'Thám tử', 'Lịch sử', 'Siêu nhiên', 'Ma cà rồng']","['9.2', '194']"
Record of Ragnarok Season 2,"['Anime', 'Hành động', 'Giả tưởng', 'Thám tử', 'Drama', 'Siêu nhiên']","['9.6', '278']"
"Fuufu Ijou, Koibito Miman.","['Anime', 'Hài hước', 'Tình cảm', 'Học đường', 'Thám tử', 'Seinen']","['9.0', '513']"
Layton Mystery Tanteisha: Katri no Nazotoki File,"['Anime', 'Hài hước', 'Thám tử']","['4.0', '49']"
Yuukoku no Moriarty OVA,"['Anime', 'Tình cảm', 'Thám tử', 'Lịch sử', 'Shounen', 'Psychological']","['5.9', '39']"
Sankaku Mado no Sotogawa wa Yoru,"['Anime', 'Thám tử', 'Shounen AI', 'Drama', 'Siêu nhiên']","['7.9', '89']"
Tesla Note,"['Anime', 'Hành động', 'Thám tử', 'Shounen']","['5.5', '39']"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season,"['Anime', 'Hành động', 'Thám tử', 'Drama']","['7.2', '35']"
Death Note Relight 1: Visions Of A God,"['Anime', 'Hành động', 'Siêu nhiên', 'Thám tử', 'Bí ẩn', 'Psychological']","['8.9', '44']"
Kabukichou Sherlock,"['Anime', 'Thám tử']","['8.5', '63']"
Psycho-Pass 3,"['Anime', 'Hành động', 'Viễn tưởng', 'Thám tử', 'Psychological']","['8.8', '57']"
Cop Craft,"['Anime', 'Hành động', 'Viễn tưởng', 'Giả tưởng', 'Thám tử']","['9.3', '506']"
"Gyakuten Saiban: Sono Shinjitsu, Igi Ari! Season 2","['Anime', 'Hài hước', 'Thám tử', 'Bí ẩn', 'Drama']","['8.6', '1512']"
Detective Conan Movie 22: Zero The Enforcer,"['Anime', 'Hành động', 'Phiêu lưu', 'Thám tử', 'Bí ẩn', 'Drama']","['8.7', '574']"
Hakata Tonkotsu Ramens,"['Anime', 'Hành động', 'Bí ẩn', 'Thám tử']","['9.2', '187']"
Detective Conan Movie 21: The Crimson Love Letter,"['Anime', 'Hành động', 'Tình cảm', 'Lịch sử', 'Thám tử', 'Bí ẩn', 'Drama']","['8.1', '119']"
"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori","['Anime', 'Thám tử', 'Shounen', 'Bí ẩn']","['9.0', '215']"
The Disappearance of Conan Edogawa: The Worst Two Days in History,"['Anime', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Thám tử']","['7.6', '82']"
Detective Conan: The Fugitive Kogorou Mouri,"['Anime', 'Hài hước', 'Thám tử']","['8.3', '38']"
Detective Conan Movie 1: The Timed Skyscraper - Quả Bom Chọc Trời,"['Anime', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Thám tử']","['7.8', '60']"
Kingdom 5th Season,"['Anime', 'Hành động', 'Lịch sử']","['7.8', '64']"
Meiji Gekken: 1874,"['Anime', 'Hành động', 'Lịch sử', 'Drama', 'Siêu nhiên', 'Viễn tưởng']","['4.6', '30']"
Tam Thập Lục Kỵ,"['Hành động', 'Lịch sử', 'CN Animation', 'Võ hiệp']","['7.0', '73']"
Ōoku: The Inner Chambers,"['Anime', 'Lịch sử', 'Drama', 'Samurai']","['NaN', '7']"
Blue Eye Samurai,"['Anime', 'Hành động', 'Lịch sử', 'Samurai']","['4.2', '11']"
Watashi no Shiawase na Kekkon,"['Anime', 'Tình cảm', 'Giả tưởng', 'Lịch sử']","['9.2', '229']"
Hỏa Phụng Liêu Nguyên,"['Lịch sử', 'CN Animation', 'Kiếm hiệp', 'Võ hiệp']","['8.8', '204']"
Golden Kamuy Season 4,"['Anime', 'Hành động', 'Lịch sử', 'Phiêu lưu']","['6.2', '69']"
Jigokuraku,"['Anime', 'Hành động', 'Giả tưởng', 'Lịch sử', 'Kinh dị']","['9.6', '607']"
Thanh Gươm Diệt Quỷ Phần 2: Phố Đèn Đỏ (Kỹ Viện Trấn),"['Anime', 'Hành động', 'Lịch sử', 'Shounen', 'Siêu nhiên']","['6.2', '167']"
Nokemono-tachi no Yoru,"['Anime', 'Giả tưởng', 'Lịch sử', 'Shounen']","['7.2', '84']"
Kingdom 4th Season,"['Anime', 'Hành động', 'Lịch sử', 'Quân đội', 'Seinen']","['7.8', '110']"
Koukyuu no Karasu,"['Anime', 'Giả tưởng', 'Lịch sử']","['7.4', '124']"
Uchi no Shishou wa Shippo ga Nai,"['Anime', 'Lịch sử', 'Seinen', 'Siêu nhiên']","['4.7', '54']"
Mushikaburi-hime,"['Anime', 'Tình cảm', 'Lịch sử', 'Drama']","['7.2', '109']"
Kingdom 3rd Season,"['Hành động', 'Lịch sử', 'Quân đội', 'Seinen']","['6.3', '59']"
Baraou no Souretsu,"['Anime', 'Hành động', 'Lịch sử', 'Shoujo', 'Drama', 'Siêu nhiên']","['6.7', '112']"
Mars Red,"['Anime', 'Hành động', 'Lịch sử', 'Ma cà rồng', 'Siêu năng lực', 'Quân đội']","['7.8', '84']"
Sabiiro no Armor: Reimei,"['Anime', 'Hành động', 'Lịch sử', 'Samurai']","['2.2', '466']"
High Card,"['Anime', 'Hành động', 'Siêu năng lực']","['7.9', '148']"
Undead Unluck,"['Anime', 'Hành động', 'Hài hước', 'Siêu năng lực', 'Shounen', 'Siêu nhiên']","['9.2', '253']"
Sasaki và P-chan,"['Anime', 'Hài hước', 'Siêu năng lực', 'Siêu nhiên', 'Dị giới']","['8.7', '187']"
Boku no Hero Academia: UA Heroes Battle,"['Anime', 'Hành động', 'Học đường', 'Siêu năng lực']","['6.7', '36']"
Boku no Hero Academia 6th Season,"['Anime', 'Hành động', 'Học đường', 'Siêu năng lực', 'Shounen']","['9.3', '493']"
Mairimashita! Iruma-kun 3rd Season,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Siêu năng lực', 'Shounen']","['9.2', '358']"
Dragon Ball Super: Super Hero 2022,"['Anime', 'Hành động', 'Siêu năng lực', 'Siêu nhiên', 'Phiêu lưu']","['9.3', '65']"
Mob Psycho 100 III,"['Hành động', 'Hài hước', 'Siêu năng lực', 'Siêu nhiên']","['8.2', '240']"
Nhật Ký Thường Ngày Của Tiên Vương Phần 3,"['Học đường', 'Đời thường', 'Siêu năng lực', 'CN Animation', '[CNA] Hài hước']","['8.9', '395']"
Tiger & Bunny 2,"['Anime', 'Hành động', 'Hài hước', 'Siêu năng lực']","['2.6', '34']"
Promare: Galo-hen,"['Anime', 'Hành động', 'Siêu năng lực', 'Mecha', 'Viễn tưởng']","['2.4', '21']"
Promare: Lio-hen,"['Anime', 'Hành động', 'Siêu năng lực', 'Mecha', 'Viễn tưởng']","['2.8', '16']"
Jujutsu Kaisen 0 Movie,"['Anime', 'Hành động', 'Siêu năng lực', 'Shounen', 'Siêu nhiên']","['9.7', '345']"
Boku no Hero Academia 5th Season,"['Anime', 'Hành động', 'Hài hước', 'Học đường', 'Shounen', 'Siêu năng lực']","['9.5', '688']"
Shaman King (2021),"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu', 'Siêu nhiên', 'Shounen', 'Siêu năng lực']","['8.1', '209']"
Kaijuu 8-gou,"['Anime', 'Hành động', 'Shounen', 'Quân đội', 'Viễn tưởng']","['9.6', '490']"
Urusei Yatsura (2022) 2nd Season,"['Anime', 'Hài hước', 'Tình cảm', 'Shounen']","['4.9', '32']"
Urusei Yatsura (2022),"['Anime', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Shounen']","['6.4', '108']"
Jujutsu Kaisen 2nd Season,"['Anime', 'Hành động', 'Giả tưởng', 'Học đường', 'Shounen']","['9.3', '445']"
Mahoutsukai no Yome 2,"['Anime', 'Giả tưởng', 'Shounen', 'Siêu nhiên']","['8.6', '235']"
Tensei Shitara Slime Datta Ken: Coleus no Yume,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Shounen']","['9.5', '146']"
"Kanojo, Okarishimasu 3rd Season","['Anime', 'Hài hước', 'Tình cảm', 'Shounen']","['5.9', '238']"
Bleach: Sennen Kessen-hen,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Phiêu lưu']","['9.2', '499']"
Edens Zero 2nd Season,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Shounen', 'Phiêu lưu', 'Viễn tưởng']","['7.1', '123']"
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,"['Anime', 'Hài hước', 'Tình cảm', 'Shounen AI']","['6.3', '85']"
Thuốc giải,"['Hài hước', 'Tình cảm', 'Đời thường', 'Shounen AI', 'CN Animation']","['7.6', '16']"
Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,"['Anime', 'Hài hước', 'Tình cảm', 'Đời thường', 'Shounen AI']","['8.8', '56']"
Saezuru Tori wa Habatakanai: Don't Stay Gold,"['Anime', 'Tình cảm', 'Shounen AI', 'Drama']","['6.7', '20']"
Boku no Hero Academia 2nd Season,"['Anime', 'Hành động', 'Hài hước', 'Học đường', 'Siêu năng lực', 'Shounen AI']","['9.6', '120']"
Sasaki to Miyano,"['Anime', 'Học đường', 'Đời thường', 'Shounen AI']","['8.3', '278']"
Given: Uragawa no Sonzai,"['Anime', 'Tình cảm', 'Shounen AI', 'Âm nhạc']","['7.9', '35']"
Dounika Naru Hibi,"['Anime', 'Tình cảm', 'Đời thường', 'Drama', 'Shoujo', 'Shounen AI', 'Shoujo AI']","['7.5', '30']"
Người lạ bên bờ biển,"['Anime', 'Tình cảm', 'Đời thường', 'Shounen AI']","['9.0', '145']"
Given Movie,"['Anime', 'Tình cảm', 'Shounen AI', 'Âm nhạc']","['9.2', '98']"
Saezuru Tori wa Habatakanai: The clouds gather,"['Anime', 'Drama', 'Shounen AI']","['8.8', '52']"
Given,"['Anime', 'Tình cảm', 'Drama', 'Shounen AI', 'Âm nhạc']","['8.6', '247']"
Dakaretai Otoko 1-i ni Odosarete Imasu.,"['Anime', 'Tình cảm', 'Shounen AI']","['8.4', '1773']"
"Kono Danshi, Uchuujin to Tatakaemasu","['Anime', 'Hành động', 'Siêu nhiên', 'Shounen AI', 'Siêu năng lực']","['6.2', '212']"
Taishou Chicchai-san,"['Anime', 'Hành động', 'Lịch sử', 'Shounen AI']","['7.4', '53']"
Hitorijime My Hero,"['Anime', 'Học đường', 'Đời thường', 'Shounen AI']","['9.5', '286']"
Super Lovers 2,"['Anime', 'Tình cảm', 'Hài hước', 'Drama', 'Shounen AI']","['8.9', '333']"
Spiritpact,"['Hành động', 'Siêu nhiên', 'Shounen AI', 'Anime']","['8.1', '73']"
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,"['Anime', 'Tình cảm', 'Hài hước', 'Shounen AI']","['8.3', '52']"
Sekaiichi Hatsukoi 2,"['Anime', 'Tình cảm', 'Hài hước', 'Drama', 'Shounen AI']","['8.4', '69']"
Sekai-ichi Hatsukoi,"['Anime', 'Tình cảm', 'Hài hước', 'Drama', 'Shounen AI']","['8.2', '100']"
Gakuen Heaven,"['Tình cảm', 'Hài hước', 'Học đường', 'Drama', 'Shounen AI', 'Anime']","['8.1', '61']"
Gravitation,"['Anime', 'Tình cảm', 'Hài hước', 'Shounen AI', 'Âm nhạc']","['6.5', '37']"
Junjou Romantica,"['Anime', 'Tình cảm', 'Hài hước', 'Drama', 'Shounen AI']","['8.7', '88']"
Junjou Romantica 2,"['Anime', 'Tình cảm', 'Hài hước', 'Drama', 'Shounen AI']","['9.3', '61']"
Junjou Romantica 3,"['Anime', 'Tình cảm', 'Hài hước', 'Drama', 'Shounen AI']","['8.5', '64']"
Love Stage!!,"['Anime', 'Tình cảm', 'Hài hước', 'Shounen AI']","['8.2', '113']"
Love Stage!! OAD,"['Anime', 'Tình cảm', 'Hài hước', 'Shounen AI']","['8.1', '35']"
Togainu No Chi,"['Anime', 'Hành động', 'Viễn tưởng', 'Shounen AI']","['6.8', '24']"
Ojou to Banken-kun,"['Anime', 'Tình cảm', 'Học đường', 'Shoujo']","['7.1', '78']"
Kibou no Chikara: Otona Precure Power of Hope ~Precure Full Bloom~23,"['Anime', 'Hành động', 'Giả tưởng', 'Shoujo']","['5.0', '24']"
Niehime to Kemono no Ou,"['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Shoujo']","['8.2', '123']"
Mahou Shoujo Magical Destroyers,"['Anime', 'Hành động', 'Giả tưởng', 'Shoujo']","['4.5', '79']"
Tokyo Mew Mew New~♡ 2nd Season,"['Anime', 'Tình cảm', 'Giả tưởng', 'Shoujo', 'Viễn tưởng']","['6.8', '69']"
Akuyaku Reijou nanode Last Boss wo Kattemimashita,"['Anime', 'Hài hước', 'Giả tưởng', 'Shoujo']","['7.8', '188']"
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,"['Anime', 'Tình cảm', 'Hài hước', 'Giả tưởng', 'Học đường', 'Harem', 'Drama', 'Shoujo']","['9.2', '233']"
Kageki Shoujo!! - Opera Girl! - The Curtain Rises,"['Anime', 'Học đường', 'Drama', 'Shoujo']","['8.4', '53']"
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"['Anime', 'Đời thường', 'Siêu nhiên', 'Drama', 'Demon', 'Shoujo']","['9.3', '82']"
Fruits Basket (2019): The Final,"['Anime', 'Tình cảm', 'Hài hước', 'Đời thường', 'Siêu nhiên', 'Drama', 'Shoujo']","['9.2', '216']"
Majo Minarai wo Sagashite,"['Anime', 'Hài hước', 'Shoujo']","['8.4', '27']"
"Omoi, Omoware, Furi, Furare","['Anime', 'Tình cảm', 'Học đường', 'Drama', 'Shoujo']","['9.0', '100']"
Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman,"['Anime', 'Tình cảm', 'Lịch sử', 'Hài hước', 'Shoujo']","['8.4', '31']"
"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai","['Anime', 'Tình cảm', 'Lịch sử', 'Shoujo']","['8.7', '31']"
Okami Shoujo to Kuro Ouji,"['Anime', 'Tình cảm', 'Hài hước', 'Học đường', 'Shoujo']","['9.3', '426']"
Koi to Producer: EVOL×LOVE,"['Anime', 'Tình cảm', 'Đời thường', 'Shoujo', 'Siêu năng lực', 'Âm nhạc']","['5.4', '54']"
Fruits Basket (2019) 2nd Season,"['Anime', 'Tình cảm', 'Hài hước', 'Đời thường', 'Siêu nhiên', 'Drama', 'Shoujo']","['9.2', '175']"
"Donten ni Warau Gaiden 3: Ouka, Tenbou no Kakehashi","['Anime', 'Hành động', 'Lịch sử', 'Shoujo']","['6.7', '21']"
"Donten ni Warau Gaiden 2: Shukumei, Soutou no Fuuma","['Anime', 'Hành động', 'Lịch sử', 'Shoujo']","['6.2', '17']"
"Donten ni Warau Gaiden 1: Ketsubetsu, Yamainu no Chikai ","['Anime', 'Hành động', 'Lịch sử', 'Shoujo']","['6.9', '22']"
Gekijouban Alice in the Garden,"['Anime', 'Hành động', 'Hài hước', 'Siêu nhiên', 'Ma cà rồng', 'Shoujo']","['8.8', '41']"
Servamp,"['Anime', 'Hành động', 'Hài hước', 'Siêu nhiên', 'Ma cà rồng', 'Shoujo']","['8.5', '319']"
Healin' Good♡Precure,"['Anime', 'Hành động', 'Siêu nhiên', 'Shoujo']","['6.4', '22']"
Ensemble Stars,"['Anime', 'Học đường', 'Shoujo', 'Âm nhạc']","['6.7', '75']"
Mayonaka no Occult Koumuin,"['Anime', 'Giả tưởng', 'Siêu nhiên', 'Bí ẩn', 'Demon', 'Shoujo']","['9.0', '235']"
Hikikomari Kyuuketsuki no Monmon,"['Anime', 'Hài hước', 'Tình cảm', 'Shoujo AI', 'Siêu nhiên']","['8.5', '173']"
Watashi no Yuri wa Oshigoto desu!,"['Anime', 'Hài hước', 'Shoujo AI']","['6.6', '98']"
Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,"['Anime', 'Tình cảm', 'Học đường', 'Đời thường', 'Shoujo AI']","['4.4', '51']"
Tensei Oujo to Tensai Reijou no Mahou Kakumei,"['Anime', 'Hành động', 'Shoujo AI', 'Siêu nhiên']","['8.6', '373']"
Urasekai Picnic,"['Anime', 'Viễn tưởng', 'Giả tưởng', 'Phiêu lưu', 'Bí ẩn', 'Shoujo AI']","['8.9', '145']"
Adachi to Shimamura,"['Anime', 'Tình cảm', 'Hài hước', 'Học đường', 'Shoujo AI']","['9.1', '177']"
Fragtime,"['Anime', 'Tình cảm', 'Viễn tưởng', 'Học đường', 'Đời thường', 'Shoujo AI']","['9.5', '89']"
Doukyuusei,"['Anime', 'Tình cảm', 'Học đường', 'Đời thường', 'Shoujo AI']","['8.9', '81']"
Watashi ni Tenshi ga Maiorita!,"['Anime', 'Hài hước', 'Shoujo AI']","['9.1', '434']"
Uchi no Maid ga Uzasugiru!,"['Anime', 'Hài hước', 'Đời thường', 'Shoujo', 'Shoujo AI']","['9.3', '952']"
Kashimashi - Girl Meets Girl,"['Anime', 'Hành động', 'Siêu nhiên', 'Siêu năng lực', 'Shoujo AI']","['7.8', '60']"
Yagate Kimi ni Naru,"['Tình cảm', 'Học đường', 'Shoujo AI']","['8.4', '927']"
Tonari no Kyuuketsuki-san,"['Anime', 'Ma cà rồng', 'Siêu năng lực', 'Shoujo AI', 'Đời thường']","['9.2', '779']"
Tachibanakan Triangle,"['Anime', 'Hài hước', 'Ecchi', 'Shoujo AI']","['8.6', '222']"
Asagao to Kase-san,"['Anime', 'Tình cảm', 'Học đường', 'Shoujo AI']","['8.8', '258']"
Citrus,"['Anime', 'Tình cảm', 'Học đường', 'Drama', 'Shoujo AI']","['9.3', '540']"
Konohana Kitan,"['Anime', 'Hài hước', 'Giả tưởng', 'Đời thường', 'Seinen', 'Shoujo AI']","['9.4', '234']"
Netsuzou TRap,"['Anime', 'Tình cảm', 'Drama', 'Shoujo AI']","['7.4', '184']"
Gakuen Handsome,"['Anime', 'Hài hước', 'Học đường', 'Shoujo AI']","['1.7', '248']"
Mnemosyne Mnemosyne no Musume-tachi,"['Anime', 'Hành động', 'Viễn tưởng', 'Kinh dị', 'Siêu nhiên', 'Shoujo AI']","['8.1', '22']"
Strawberry Panic,"['Anime', 'Tình cảm', 'Học đường', 'Drama', 'Shoujo AI']","['8.3', '75']"
Sasameki Koto,"['Anime', 'Tình cảm', 'Hài hước', 'Học đường', 'Shoujo AI']","['6.6', '33']"
Mnemosyne: Mnemosyne no Musume-tachi,"['Anime', 'Hành động', 'Viễn tưởng', 'Kinh dị', 'Siêu nhiên', 'Shoujo AI']","['7.8', '14']"
Otome Wa Boku Ni Koishiteru: Futari No Elder,"['Anime', 'Tình cảm', 'Học đường', 'Drama', 'Shoujo AI']","['8.2', '36']"
Junjou Romantica Special,"['Anime', 'Tình cảm', 'Hài hước', 'Shoujo AI']","['7.9', '33']"
Akuma no Riddle,"['Anime', 'Hành động', 'Học đường', 'Shoujo AI']","['8.8', '90']"
Akuma no Riddle OVA,"['Anime', 'Hành động', 'Hài hước', 'Ecchi', 'Shoujo AI']","['8.8', '34']"
Valkyrie Drive: Mermaid,"['Anime', 'Hành động', 'Giả tưởng', 'Ecchi', 'Shoujo AI']","['8.4', '90']"
Kanamemo,"['Anime', 'Hài hước', 'Đời thường', 'Ecchi', 'Shoujo AI']","['8.8', '42']"
Na Nare Hana Nare,"['Anime', 'Thể thao']","['5.2', '19']"
Captain Tsubasa Season 2: Junior Youth-hen,"['Anime', 'Thể thao']","['7.2', '74']"
Oi! Tonbo,"['Anime', 'Thể thao']","['3.6', '32']"
Highspeed Etoile,"['Anime', 'Thể thao']","['3.7', '31']"
Uma Musume: Pretty Derby Season 3,"['Anime', 'Thể thao']","['5.3', '36']"
Overtake!,"['Anime', 'Đời thường', 'Thể thao']","['5.4', '34']"
Free! Movie 4: The Final Stroke - Zenpen,"['Anime', 'Học đường', 'Đời thường', 'Thể thao']","['6.7', '33']"
Free! Movie 2: Timeless Medley - Yakusoku,"['Anime', 'Học đường', 'Thể thao']","['NaN', '6']"
Free! Movie 1: Timeless Medley - Kizuna,"['Anime', 'Học đường', 'Thể thao']","['NaN', '5']"
Dance Dance Danseur,"['Anime', 'Tình cảm', 'Thể thao']","['5.2', '23']"
Birdie Wing: Golf Girls' Story Season 2,"['Anime', 'Thể thao']","['6.4', '74']"
Yowamushi Pedal OVA – Special Ride,"['Anime', 'Hài hước', 'Thể thao']","['NaN', '9']"
Chiba Pedal: Yowamushi Pedal to Manabu Jitensha Koutsuu Anzen,"['Anime', 'Hài hước', 'Thể thao']","['NaN', '8']"
Tsurune: Tsunagari no Issha (Ss2),"['Anime', 'Học đường', 'Thể thao', 'Drama']","['7.1', '71']"
Yowamushi Pedal: Limit Break,"['Anime', 'Học đường', 'Thể thao']","['7.0', '104']"
Blue Lock,"['Anime', 'Shounen', 'Thể thao']","['8.6', '521']"
Tsurune: Kazemai Koukou Kyuudou-bu,"['Anime', 'Học đường', 'Thể thao', 'Drama']","['6.3', '52']"
Haikyuu!! Movie 3: Sainou to Sense,"['Anime', 'Hài hước', 'Học đường', 'Shounen', 'Thể thao', 'Drama']","['5.9', '29']"
Haikyuu!! Movie Tập 2 - Shousha to Haisha,"['Anime', 'Hài hước', 'Học đường', 'Shounen', 'Thể thao', 'Drama']","['6.1', '24']"
Haikyuu!! Movie 1 – Owari to Hajimari,"['Anime', 'Học đường', 'Shounen', 'Thể thao']","['6.7', '20']"
Shoot! Goal to the Future,"['Anime', 'Shounen', 'Thể thao']","['4.5', '55']"
Love All Play,"['Anime', 'Thể thao']","['6.2', '69']"
Extreme Hearts,"['Anime', 'Thể thao', 'Âm nhạc']","['5.5', '58']"
Ao Ashi,"['Anime', 'Thể thao']","['8.7', '266']"
The iDOLM@STER Shiny Colors,"['Anime', 'Âm nhạc']","['5.9', '11']"
Shigatsu Wa Kimi No Uso Finale Event,"['Anime', 'Âm nhạc']","['6.5', '53']"
Kizuna no Allele 2nd Season,"['Anime', 'Âm nhạc']","['NaN', '8']"
Paradox Live THE ANIMATION,"['Anime', 'Âm nhạc', 'Drama']","['5.1', '26']"
Ao no Orchestra,"['Anime', 'Học đường', 'Âm nhạc', 'Đời thường', 'Drama']","['6.9', '110']"
Genjitsu no Yohane: Sunshine in the Mirror,"['Anime', 'Giả tưởng', 'Âm nhạc']","['6.2', '43']"
BanG Dream! It's MyGO!!!!!,"['Anime', 'Âm nhạc']","['6.4', '42']"
World Dai Star,"['Anime', 'Đời thường', 'Âm nhạc']","['5.0', '54']"
Kizuna no Allele,"['Anime', 'Âm nhạc']","['5.6', '82']"
UniteUp!,"['Anime', 'Âm nhạc']","['5.0', '63']"
Vazzrock The Animation,"['Anime', 'Âm nhạc']","['3.2', '64']"
Bocchi the Rock!,"['Anime', 'Hài hước', 'Đời thường', 'Âm nhạc']","['9.1', '335']"
Massara,"['Anime', 'Đời thường', 'Âm nhạc']","['7.7', '72']"
Luminous Witches,"['Anime', 'Âm nhạc', 'Quân đội', 'Viễn tưởng']","['7.1', '71']"
RWBY: Hyousetsu Teikoku,"['Anime', 'Hành động', 'Âm nhạc']","['7.8', '109']"
Kami Kuzu☆Idol,"['Anime', 'Hài hước', 'Âm nhạc', 'Siêu nhiên']","['6.2', '56']"
Healer Girl,"['Anime', 'Âm nhạc']","['6.4', '50']"
Cue!,"['Anime', 'Âm nhạc']","['7.4', '66']"
