title,genre,rating
Shinigami Bocchan to Kuro Maid 3rd Season,"['Anime', 'Hài hước', 'Tình cảm', 'Siêu nhiên']","['8.5', '83']"
Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Phiêu lưu']","['8.2', '230']"
Shuumatsu Train Doko E Iku,"['Anime', 'Hài hước', 'Đời thường', 'Phiêu lưu', 'Viễn tưởng']","['6.7', '64']"
Tsuki ga Michibiku Isekai Douchuu 2nd Season,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Phiêu lưu', 'Xuyên không']","['9.0', '558']"
Yoru no Kurage wa Oyogenai,"['Anime', 'Hài hước', 'Đời thường']","['7.5', '65']"
"Maou No Ore Ga Dorei Elf Wo Yome Ni Shitanda Ga, Dou Medereba Ii?","['Anime', 'Hành động', 'Hài hước', 'Tình cảm']","['8.7', '254']"
Astro Note,"['Anime', 'Hài hước', 'Tình cảm', 'Siêu nhiên']","['4.9', '43']"
Kono Subarashii Sekai ni Shukufuku wo! 3,"['Anime', 'Hài hước', 'Giả tưởng', 'Phiêu lưu', 'Dị giới']","['9.5', '287']"
"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu","['Anime', 'Hài hước', 'Phiêu lưu', 'Xuyên không']","['7.2', '410']"
Ookami to Koushinryou: merchant meets the wise wolf,"['Anime', 'Tình cảm', 'Giả tưởng', 'Lịch sử', 'Phiêu lưu']","['8.2', '98']"
Katsute Mahou Shoujo to Aku wa Tekitai Shiteita,"['Anime', 'Tình cảm', 'Siêu nhiên']","['8.2', '64']"
Kimi ni Todoke 3nd Season,"['Anime', 'Tình cảm', 'Học đường', 'Đời thường', 'Shoujo']","['9.0', '29']"
Vampire Dormitory,"['Anime', 'Tình cảm', 'Siêu nhiên', 'Ma cà rồng']","['5.9', '32']"
Mushoku Tensei II: Isekai Ittara Honki Dasu (Ss3),"['Anime', 'Hành động', 'Tình cảm', 'Harem', 'Giả tưởng', 'Drama', 'Ecchi']","['8.7', '681']"
Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,"['Anime', 'Hành động', 'Tình cảm', 'Phiêu lưu']","['3.7', '194']"
Mahouka Koukou no Rettousei 3rd Season,"['Hành động', 'Tình cảm', 'Giả tưởng', 'Học đường', 'Viễn tưởng']","['8.3', '176']"
Hananoi-kun to Koi no Yamai,"['Anime', 'Tình cảm', 'Học đường', 'Đời thường']","['8.1', '72']"
Date A Live V,"['Anime', 'Hành động', 'Tình cảm', 'Harem', 'Giả tưởng', 'Học đường', 'Viễn tưởng']","['9.3', '188']"
Unnamed Memory,"['Anime', 'Hành động', 'Tình cảm', 'Giả tưởng', 'Phiêu lưu']","['8.3', '150']"
Jiisan Baasan Wakagaeru,"['Anime', 'Hài hước', 'Tình cảm', 'Đời thường', 'Siêu nhiên']","['9.2', '206']"
"One Room, Hiatari Futsuu, Tenshi-tsuki","['Anime', 'Tình cảm', 'Harem', 'Siêu năng lực']","['8.6', '116']"
Suki demo Kirai na Amanojaku My Oni Girl,"['Anime', 'Tình cảm', 'Siêu nhiên']","['9.3', '34']"
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,"['Anime', 'Tình cảm', 'Học đường', 'Drama', 'Siêu nhiên']","['9.7', '34']"
Momochi-San Chi No Ayakashi Ouji,"['Anime', 'Tình cảm', 'Bí ẩn']","['4.9', '37']"
Kekkon Yubiwa Monogatari,"['Anime', 'Hành động', 'Tình cảm', 'Harem', 'Siêu nhiên', 'Dị giới', 'Ecchi']","['7.1', '154']"
Nozomanu Fushi no Boukensha,"['Anime', 'Hành động', 'Tình cảm', 'Harem', 'Siêu năng lực', 'Phiêu lưu']","['9.3', '382']"
Mato Seihei no Slave,"['Anime', 'Hành động', 'Hài hước', 'Harem', 'Shounen', 'Siêu nhiên', 'Ecchi']","['8.7', '260']"
Kanojo mo Kanojo Season 2,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Đời thường']","['7.0', '111']"
Kimi No Koto Ga Dai Dai Dai Dai Daisuki Na 100-ri No Kanojo,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường']","['7.9', '269']"
Seiken Gakuin no Maken Tsukai,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường']","['7.6', '225']"
Temple,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Ecchi']","['8.8', '175']"
Eiyuu Kyoushitsu,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Siêu nhiên', 'Ecchi']","['7.9', '183']"
Masamune-kun no Revenge 2nd Season,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Shounen']","['9.2', '269']"
Gotoubun no Hanayome ∬,"['Anime', 'Tình cảm', 'Hài hước', 'Harem', 'Shounen']","['9.6', '1419']"
Megami no Café Terrace,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Shounen', 'Ecchi']","['8.7', '233']"
Rokudou no Onna-tachi,"['Anime', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Shounen']","['6.7', '88']"
Isekai Shoukan wa Nidome desu,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Giả tưởng']","['7.5', '221']"
Yuusha ga Shinda!,"['Anime', 'Hành động', 'Hài hước', 'Harem', 'Giả tưởng', 'Ecchi']","['7.8', '177']"
